time [sec], angle [deg], angle velocity [deg/sec]
4.21,-0.165629,-6.67076,0.121442
4.22,-0.231313,-6.46393,0.119162
4.23,-0.294869,-6.2455,0.116632
4.24,-0.356187,-6.01629,0.113864
4.25,-0.415162,-5.77714,0.110872
4.26,-0.471699,-5.5289,0.107667
4.27,-0.525712,-5.27239,0.104264
4.28,-0.577123,-5.00848,0.100676
4.29,-0.62586,-4.73801,0.0969149
4.3,-0.671864,-4.46181,0.0929957
4.31,-0.71508,-4.18073,0.0889317
4.32,-0.755465,-3.89559,0.0847365
4.33,-0.792981,-3.60722,0.0804239
4.34,-0.827601,-3.31643,0.0760077
4.35,-0.859304,-3.02401,0.0715014
4.36,-0.888079,-2.73074,0.0669186
4.37001,-0.913919,-2.43739,0.0622728
4.38001,-0.936828,-2.14471,0.0575773
4.39001,-0.956818,-1.85343,0.0528451
4.40001,-0.973904,-1.56425,0.0480891
4.41001,-0.988112,-1.27787,0.0433221
4.42001,-0.999473,-0.994937,0.0385564
4.43001,-1.00802,-0.716104,0.0338041
4.44001,-1.01381,-0.441979,0.0290771
4.45001,-1.01688,-0.17315,0.0243866
4.46001,-1.01729,0.0898238,0.0197439
4.47001,-1.01511,0.346409,0.0151596
4.48001,-1.01039,0.596104,0.0106441
4.49001,-1.00321,0.838434,0.00620722
4.50001,-0.993645,1.07295,0.00185846
4.51001,-0.981777,1.29925,-0.00239323
4.52001,-0.967689,1.51694,-0.00653923
4.53001,-0.951468,1.72568,-0.0105715
4.54001,-0.933206,1.92513,-0.0144824
4.55001,-0.912997,2.11501,-0.0182647
4.56001,-0.890939,2.29506,-0.021912
4.57001,-0.86713,2.46506,-0.0254181
4.58001,-0.841672,2.6248,-0.0287773
4.59001,-0.814668,2.77412,-0.0319846
4.60001,-0.786224,2.91289,-0.0350353
4.61001,-0.756446,3.04099,-0.0379253
4.62001,-0.72544,3.15836,-0.0406511
4.63001,-0.693315,3.26494,-0.0432095
4.64001,-0.660178,3.36071,-0.045598
4.65001,-0.626137,3.44569,-0.0478145
4.66001,-0.5913,3.51991,-0.0498573
4.67001,-0.555774,3.58344,-0.0517254
4.68001,-0.519666,3.63636,-0.0534181
4.69001,-0.483082,3.67879,-0.0549351
4.70001,-0.446125,3.71086,-0.0562768
4.71001,-0.408898,3.73274,-0.0574439
4.72001,-0.371503,3.74461,-0.0584374
4.73001,-0.334039,3.74668,-0.059259
4.74001,-0.296602,3.73916,-0.0599105
4.75001,-0.259287,3.7223,-0.0603943
4.76001,-0.222186,3.69636,-0.0607131
4.77001,-0.185389,3.66163,-0.0608699
4.78001,-0.148982,3.61839,-0.0608682
4.79001,-0.113048,3.56696,-0.0607117
4.80001,-0.0776688,3.50766,-0.0604043
4.81002,-0.0429203,3.44082,-0.0599505
4.82002,-0.00887641,3.36679,-0.0593547
4.83002,0.0243927,3.28593,-0.0586219
4.84002,0.0568205,3.19859,-0.0577572
4.85002,0.0883443,3.10517,-0.0567657
4.86002,0.118905,3.00603,-0.055653
4.87002,0.148447,2.90157,-0.0544248
4.88002,0.17692,2.79217,-0.0530869
4.89002,0.204275,2.67822,-0.0516452
4.90002,0.23047,2.56013,-0.0501059
4.91002,0.255466,2.43829,-0.0484752
4.92002,0.279225,2.3131,-0.0467593
4.93002,0.301718,2.18496,-0.0449646
4.94002,0.322916,2.05426,-0.0430976
4.95002,0.342796,1.92139,-0.0411646
4.96002,0.361338,1.78675,-0.0391722
4.97002,0.378526,1.65071,-0.0371267
4.98002,0.394349,1.51366,-0.0350346
4.99002,0.408797,1.37596,-0.0329024
5.00002,0.421867,1.23799,-0.0307364
5.01002,0.433557,1.1001,-0.0285429
5.02002,0.44387,0.962645,-0.0263282
5.03002,0.452813,0.825956,-0.0240983
5.04002,0.460393,0.690367,-0.0218593
5.05002,0.466625,0.556197,-0.0196171
5.06002,0.471523,0.423754,-0.0173775
5.07002,0.475107,0.293335,-0.0151462
5.08002,0.477397,0.165224,-0.0129285
5.09002,0.47842,0.0396932,-0.0107299
5.10002,0.478201,-0.0829986,-0.00855544
5.11002,0.47677,-0.202606,-0.00641015
5.12002,0.47416,-0.318896,-0.0042988
5.13002,0.470404,-0.431651,-0.00222594
5.14002,0.465539,-0.540666,-0.000195983
5.15002,0.459604,-0.645753,0.00178694
5.16002,0.452638,-0.746735,0.00371887
5.17002,0.444683,-0.843452,0.00559608
5.18002,0.435783,-0.935758,0.00741509
5.19002,0.425983,-1.02352,0.00917263
5.20002,0.415329,-1.10662,0.0108657
5.21002,0.403867,-1.18496,0.0124914
5.22002,0.391645,-1.25845,0.0140472
5.23002,0.378714,-1.32702,0.0155309
5.24003,0.365122,-1.3906,0.0169402
5.25003,0.350919,-1.44916,0.0182735
5.26003,0.336155,-1.50266,0.0195291
5.27003,0.320882,-1.55108,0.0207055
5.28003,0.305151,-1.59442,0.0218017
5.29003,0.289011,-1.63269,0.0228167
5.30003,0.272514,-1.6659,0.0237499
5.31003,0.25571,-1.6941,0.0246007
5.32003,0.238648,-1.71733,0.0253691
5.33003,0.221379,-1.73564,0.0260549
5.34003,0.203952,-1.74911,0.0266583
5.35003,0.186413,-1.75782,0.0271798
5.36003,0.168811,-1.76184,0.0276199
5.37003,0.151191,-1.76129,0.0279794
5.38003,0.1336,-1.75627,0.0282593
5.39003,0.116081,-1.7469,0.0284607
5.40003,0.098676,-1.7333,0.028585
5.41003,0.0814281,-1.71561,0.0286336
5.42003,0.0643769,-1.69397,0.0286083
5.43003,0.0475613,-1.66853,0.0285107
5.44003,0.0310185,-1.63943,0.0283429
5.45003,0.0147843,-1.60685,0.0281069
5.46003,-0.00110738,-1.57094,0.0278049
5.47003,-0.016624,-1.53187,0.0274392
5.48003,-0.0317349,-1.48983,0.0270123
5.49003,-0.0464112,-1.44497,0.0265266
5.50003,-0.0606256,-1.39749,0.0259848
5.51003,-0.0743528,-1.34756,0.0253896
